LIBELLE,libel_clean_relevanc,prediction,energy_100g_libel_clean_OFF,energy_100g
HERBE MENTHE POT,herbe menthe pot,01.1.9.2.1.0017,menthe bio pot,180
MIEL ROMARIN HAUTE VALLES 480G,miel romarin haute valles,01.1.8.4.1.0016,miel romarin,336
POTE AUVERGNATE 400G,pote auvergnate,01.1.7.6.1.9999,truffade auvergnate,682
LE PANIER FAISSELLE BIO 4X100G,panier faisselle bio,01.1.1.5.1.9999,panier,389
COCA-COLA ZERO PET 1.5LX6 CONT MAST,cocacola zero pet cont mast,01.2.2.2.1.0006,cocacola pet,126
"NAVARIN AGNEAU 1,2KE",navarin agneau,01.1.2.8.3.0010,navarin petit legumes agneau francais,197
ABRICOT 35/45 BQ 1KG,abricot,01.1.6.3.1.0005,abricot,84
BISTROT DE FRANCE RS BIB 5L,bistrot france rs bib,02.1.2.1.1.0004,rs,1540
SAUMON SAUVAGE PROV.MSC 330G BQ,saumon sauvage prov msc,01.1.3.6.1.9999,msc oeufs saumon sauvage,866
ENTREMETS CITRON MERINGUE 6P 500G,entremets citron meringue,01.1.8.5.1.9999,cone citron meringue,1142
